Grid Size,Processes,Time,Rate
209,1,0.896918,2577.72
295,2,1.20305,2645.78
362,3,1.47519,2609.84
418,4,1.69149,2610.13
467,5,1.92167,2551.43
512,6,2.10931,2542.54
553,7,2.2403,2578.22
591,8,2.48918,2474.31
627,9,2.64049,2469.99
660,10,2.72593,2507.03
693,11,2.96935,2415.35
724,12,3.08305,2424.87
753,13,3.853,2015.57
782,14,3.58454,2248.82
809,15,3.99891,2082.32
836,16,4.20757,2045.84
861,17,5.63801,1568.46
886,18,5.21994,1752.7
911,19,8.48034,1105.85
934,20,6.95939,1376.41
