    JOBID     USER PARTITION     NAME ST   START_TIME     END_TIME TIME_LEFT  NODES NODELIST(REASON)  PRIORITY
  1490210 kopanica    bigMem   Smiley PD          N/A          N/A 1-00:00:00      1      (Priority)      1715
  1490211 kopanica    bigMem   Smiley PD          N/A          N/A 1-00:00:00      1      (Priority)      1715
  1490212 kopanica    bigMem   Smiley PD          N/A          N/A 1-00:00:00      1      (Priority)      1715
  1490213 kopanica    bigMem   Smiley PD          N/A          N/A 1-00:00:00      1      (Priority)      1715
  1490214 kopanica    bigMem   Smiley PD          N/A          N/A 1-00:00:00      1      (Priority)      1715
  1490215 kopanica    bigMem   Smiley PD          N/A          N/A 1-00:00:00      1      (Priority)      1715
  1490216 kopanica    bigMem   Smiley PD          N/A          N/A 1-00:00:00      1      (Priority)      1715
  1490217 kopanica    bigMem   Smiley PD          N/A          N/A 1-00:00:00      1      (Priority)      1715
  1490218 kopanica    bigMem   Smiley PD          N/A          N/A 1-00:00:00      1      (Priority)      1715
  1490219 kopanica    bigMem   Smiley PD          N/A          N/A 1-00:00:00      1      (Priority)      1715
  1490220 kopanica    bigMem   Smiley PD          N/A          N/A 1-00:00:00      1      (Priority)      1715
  1490221 kopanica    bigMem   Smiley PD          N/A          N/A 1-00:00:00      1      (Priority)      1715
  1490222 kopanica    bigMem   Smiley PD          N/A          N/A 1-00:00:00      1      (Priority)      1715
  1490223 kopanica    bigMem   Smiley PD          N/A          N/A 1-00:00:00      1      (Priority)      1715
  1490224 kopanica    bigMem   Smiley PD          N/A          N/A 1-00:00:00      1      (Priority)      1715
  1490225 kopanica    bigMem   Smiley PD          N/A          N/A 1-00:00:00      1      (Priority)      1715
  1490226 kopanica    bigMem   Smiley PD          N/A          N/A 1-00:00:00      1      (Priority)      1715
  1490227 kopanica    bigMem   Smiley PD          N/A          N/A 1-00:00:00      1      (Priority)      1715
  1490228 kopanica    bigMem   Smiley PD          N/A          N/A 1-00:00:00      1      (Priority)      1715
  1490229 kopanica    bigMem   Smiley PD          N/A          N/A 1-00:00:00      1      (Priority)      1715
  1490230 kopanica    bigMem   Smiley PD          N/A          N/A 1-00:00:00      1      (Priority)      1715
  1490231 kopanica    bigMem   Smiley PD          N/A          N/A 1-00:00:00      1      (Priority)      1715
  1490232 kopanica    bigMem   Smiley PD          N/A          N/A 1-00:00:00      1      (Priority)      1715
  1490233 kopanica    bigMem   Smiley PD          N/A          N/A 1-00:00:00      1      (Priority)      1715
  1490234 kopanica    bigMem   Smiley PD          N/A          N/A 1-00:00:00      1      (Priority)      1715
  1490235 kopanica    bigMem   Smiley PD          N/A          N/A 1-00:00:00      1      (Priority)      1715
  1490236 kopanica    bigMem   Smiley PD          N/A          N/A 1-00:00:00      1      (Priority)      1715
  1490237 kopanica    bigMem   Smiley PD          N/A          N/A 1-00:00:00      1      (Priority)      1715
  1490238 kopanica    bigMem   Smiley PD          N/A          N/A 1-00:00:00      1      (Priority)      1715
  1490239 kopanica    bigMem   Smiley PD          N/A          N/A 1-00:00:00      1      (Priority)      1715
  1490240 kopanica    bigMem   Smiley PD          N/A          N/A 1-00:00:00      1      (Priority)      1715
  1490241 kopanica    bigMem   Smiley PD          N/A          N/A 1-00:00:00      1      (Priority)      1715
  1490242 kopanica    bigMem   Smiley PD          N/A          N/A 1-00:00:00      1      (Priority)      1715
  1490243 kopanica    bigMem   Smiley PD          N/A          N/A 1-00:00:00      1      (Priority)      1715
  1490244 kopanica    bigMem   Smiley PD          N/A          N/A 1-00:00:00      1      (Priority)      1715
  1490245 kopanica    bigMem   Smiley PD          N/A          N/A 1-00:00:00      1      (Priority)      1715
  1490246 kopanica    bigMem   Smiley PD          N/A          N/A 1-00:00:00      1      (Priority)      1715
  1490247 kopanica    bigMem   Smiley PD          N/A          N/A 1-00:00:00      1      (Priority)      1715
  1490248 kopanica    bigMem   Smiley PD          N/A          N/A 1-00:00:00      1      (Priority)      1715
  1490249 kopanica    bigMem   Smiley PD          N/A          N/A 1-00:00:00      1      (Priority)      1715
  1490250 kopanica    bigMem   Smiley PD          N/A          N/A 1-00:00:00      1      (Priority)      1715
  1490251 kopanica    bigMem   Smiley PD          N/A          N/A 1-00:00:00      1      (Priority)      1715
  1490252 kopanica    bigMem   Smiley PD          N/A          N/A 1-00:00:00      1      (Priority)      1715
  1490253 kopanica    bigMem   Smiley PD          N/A          N/A 1-00:00:00      1      (Priority)      1715
  1490254 kopanica    bigMem   Smiley PD          N/A          N/A 1-00:00:00      1      (Priority)      1715
  1490255 kopanica    bigMem   Smiley PD          N/A          N/A 1-00:00:00      1      (Priority)      1715
