    JOBID     USER PARTITION     NAME ST   START_TIME     END_TIME TIME_LEFT  NODES NODELIST(REASON)  PRIORITY
  1490775 britikov      slim  0072.sh PD          N/A          N/A     10:00      1      (Priority)       287
  1490776 britikov      slim  0075.sh PD          N/A          N/A     10:00      1      (Priority)       287
  1490777 britikov      slim  0073.sh PD          N/A          N/A     10:00      1      (Priority)       287
  1490778 britikov      slim  0076.sh PD          N/A          N/A     10:00      1      (Priority)       287
  1490779 britikov      slim  0074.sh PD          N/A          N/A     10:00      1      (Priority)       287
  1490780 britikov      slim  0075.sh PD          N/A          N/A     10:00      1      (Priority)       287
  1490781 britikov      slim  0077.sh PD          N/A          N/A     10:00      1      (Priority)       287
  1490782 britikov      slim  0076.sh PD          N/A          N/A     10:00      1      (Priority)       287
  1490783 britikov      slim  0078.sh PD          N/A          N/A     10:00      1      (Priority)       287
  1490784 britikov      slim  0077.sh PD          N/A          N/A     10:00      1      (Priority)       287
  1490785 britikov      slim  0079.sh PD          N/A          N/A     10:00      1      (Priority)       287
  1490786 britikov      slim  0078.sh PD          N/A          N/A     10:00      1      (Priority)       287
  1490787 britikov      slim  0080.sh PD          N/A          N/A     10:00      1      (Priority)       287
  1490788 britikov      slim  0079.sh PD          N/A          N/A     10:00      1      (Priority)       287
  1490789 britikov      slim  0081.sh PD          N/A          N/A     10:00      1      (Priority)       287
  1490790 britikov      slim  0080.sh PD          N/A          N/A     10:00      1      (Priority)       287
  1490791 britikov      slim  0082.sh PD          N/A          N/A     10:00      1      (Priority)       287
  1490792 britikov      slim  0081.sh PD          N/A          N/A     10:00      1      (Priority)       287
  1490793 britikov      slim  0083.sh PD          N/A          N/A     10:00      1      (Priority)       287
  1490794 britikov      slim  0082.sh PD          N/A          N/A     10:00      1      (Priority)       287
  1490795 britikov      slim  0084.sh PD          N/A          N/A     10:00      1      (Priority)       287
  1490796 britikov      slim  0083.sh PD          N/A          N/A     10:00      1      (Priority)       287
  1490797 britikov      slim  0085.sh PD          N/A          N/A     10:00      1      (Priority)       287
  1490798 britikov      slim  0084.sh PD          N/A          N/A     10:00      1      (Priority)       287
  1490799 britikov      slim  0086.sh PD          N/A          N/A     10:00      1      (Priority)       287
  1490800 britikov      slim  0085.sh PD          N/A          N/A     10:00      1      (Priority)       287
  1490801 britikov      slim  0087.sh PD          N/A          N/A     10:00      1      (Priority)       287
  1490802 britikov      slim  0086.sh PD          N/A          N/A     10:00      1      (Priority)       287
  1490803 britikov      slim  0088.sh PD          N/A          N/A     10:00      1      (Priority)       287
  1490804 britikov      slim  0087.sh PD          N/A          N/A     10:00      1      (Priority)       287
  1490805 britikov      slim  0089.sh PD          N/A          N/A     10:00      1      (Priority)       287
  1490806 britikov      slim  0088.sh PD          N/A          N/A     10:00      1      (Priority)       287
  1490807 britikov      slim  0090.sh PD          N/A          N/A     10:00      1      (Priority)       287
  1490808 britikov      slim  0089.sh PD          N/A          N/A     10:00      1      (Priority)       287
  1490809 britikov      slim  0091.sh PD          N/A          N/A     10:00      1      (Priority)       287
  1490810 britikov      slim  0090.sh PD          N/A          N/A     10:00      1      (Priority)       287
  1490811 britikov      slim  0092.sh PD          N/A          N/A     10:00      1      (Priority)       287
  1490812 britikov      slim  0091.sh PD          N/A          N/A     10:00      1      (Priority)       287
  1490813 britikov      slim  0093.sh PD          N/A          N/A     10:00      1      (Priority)       287
  1490814 britikov      slim  0092.sh PD          N/A          N/A     10:00      1      (Priority)       287
  1490815 britikov      slim  0094.sh PD          N/A          N/A     10:00      1      (Priority)       287
  1490816 britikov      slim  0093.sh PD          N/A          N/A     10:00      1      (Priority)       287
  1490817 britikov      slim  0095.sh PD          N/A          N/A     10:00      1      (Priority)       287
  1490818 britikov      slim  0094.sh PD          N/A          N/A     10:00      1      (Priority)       287
  1490819 britikov      slim  0096.sh PD          N/A          N/A     10:00      1      (Priority)       287
  1490820 britikov      slim  0095.sh PD          N/A          N/A     10:00      1      (Priority)       287
  1490821 britikov      slim  0097.sh PD          N/A          N/A     10:00      1      (Priority)       287
  1490822 britikov      slim  0096.sh PD          N/A          N/A     10:00      1      (Priority)       287
  1490823 britikov      slim  0098.sh PD          N/A          N/A     10:00      1      (Priority)       287
  1490824 britikov      slim  0097.sh PD          N/A          N/A     10:00      1      (Priority)       287
  1490825 britikov      slim  0099.sh PD          N/A          N/A     10:00      1      (Priority)       287
  1490826 britikov      slim  0098.sh PD          N/A          N/A     10:00      1      (Priority)       287
  1490827 britikov      slim  0100.sh PD          N/A          N/A     10:00      1      (Priority)       287
  1490828 britikov      slim  0099.sh PD          N/A          N/A     10:00      1      (Priority)       287
  1490829 britikov      slim  0101.sh PD          N/A          N/A     10:00      1      (Priority)       287
  1490830 britikov      slim  0100.sh PD          N/A          N/A     10:00      1      (Priority)       287
  1490831 britikov      slim  0102.sh PD          N/A          N/A     10:00      1      (Priority)       287
  1490832 britikov      slim  0101.sh PD          N/A          N/A     10:00      1      (Priority)       287
  1490833 britikov      slim  0103.sh PD          N/A          N/A     10:00      1      (Priority)       287
  1490834 britikov      slim  0102.sh PD          N/A          N/A     10:00      1      (Priority)       287
  1490835 britikov      slim  0104.sh PD          N/A          N/A     10:00      1      (Priority)       287
  1490836 britikov      slim  0103.sh PD          N/A          N/A     10:00      1      (Priority)       287
  1490837 britikov      slim  0105.sh PD          N/A          N/A     10:00      1      (Priority)       287
  1490838 britikov      slim  0104.sh PD          N/A          N/A     10:00      1      (Priority)       287
  1490839 britikov      slim  0106.sh PD          N/A          N/A     10:00      1      (Priority)       287
  1490840 britikov      slim  0105.sh PD          N/A          N/A     10:00      1      (Priority)       287
  1490841 britikov      slim  0107.sh PD          N/A          N/A     10:00      1      (Priority)       287
  1490842 britikov      slim  0106.sh PD          N/A          N/A     10:00      1      (Priority)       287
  1490843 britikov      slim  0108.sh PD          N/A          N/A     10:00      1      (Priority)       287
  1490844 britikov      slim  0107.sh PD          N/A          N/A     10:00      1      (Priority)       287
  1490845 britikov      slim  0109.sh PD          N/A          N/A     10:00      1      (Priority)       287
  1490846 britikov      slim  0108.sh PD          N/A          N/A     10:00      1      (Priority)       287
  1490847 britikov      slim  0110.sh PD          N/A          N/A     10:00      1      (Priority)       287
  1490848 britikov      slim  0109.sh PD          N/A          N/A     10:00      1      (Priority)       287
  1490849 britikov      slim  0111.sh PD          N/A          N/A     10:00      1      (Priority)       287
  1490850 britikov      slim  0110.sh PD          N/A          N/A     10:00      1      (Priority)       287
  1490851 britikov      slim  0112.sh PD          N/A          N/A     10:00      1      (Priority)       287
  1490852 britikov      slim  0111.sh PD          N/A          N/A     10:00      1      (Priority)       287
  1490853 britikov      slim  0113.sh PD          N/A          N/A     10:00      1      (Priority)       287
  1490854 britikov      slim  0112.sh PD          N/A          N/A     10:00      1      (Priority)       287
  1490855 britikov      slim  0114.sh PD          N/A          N/A     10:00      1      (Priority)       287
  1490856 britikov      slim  0113.sh PD          N/A          N/A     10:00      1      (Priority)       287
  1490857 britikov      slim  0115.sh PD          N/A          N/A     10:00      1      (Priority)       287
  1490858 britikov      slim  0114.sh PD          N/A          N/A     10:00      1      (Priority)       287
  1490859 britikov      slim  0116.sh PD          N/A          N/A     10:00      1      (Priority)       287
  1490860 britikov      slim  0115.sh PD          N/A          N/A     10:00      1      (Priority)       287
  1490861 britikov      slim  0117.sh PD          N/A          N/A     10:00      1      (Priority)       287
  1490862 britikov      slim  0116.sh PD          N/A          N/A     10:00      1      (Priority)       287
  1490863 britikov      slim  0118.sh PD          N/A          N/A     10:00      1      (Priority)       287
  1490864 britikov      slim  0117.sh PD          N/A          N/A     10:00      1      (Priority)       287
  1490865 britikov      slim  0119.sh PD          N/A          N/A     10:00      1      (Priority)       287
  1490866 britikov      slim  0118.sh PD          N/A          N/A     10:00      1      (Priority)       287
  1490867 britikov      slim  0120.sh PD          N/A          N/A     10:00      1      (Priority)       287
  1490868 britikov      slim  0119.sh PD          N/A          N/A     10:00      1      (Priority)       287
  1490869 britikov      slim  0121.sh PD          N/A          N/A     10:00      1      (Priority)       287
  1490870 britikov      slim  0120.sh PD          N/A          N/A     10:00      1      (Priority)       287
  1490871 britikov      slim  0122.sh PD          N/A          N/A     10:00      1      (Priority)       287
  1490872 britikov      slim  0121.sh PD          N/A          N/A     10:00      1      (Priority)       287
  1490873 britikov      slim  0123.sh PD          N/A          N/A     10:00      1      (Priority)       287
  1490874 britikov      slim  0122.sh PD          N/A          N/A     10:00      1      (Priority)       287
  1490875 britikov      slim  0124.sh PD          N/A          N/A     10:00      1      (Priority)       287
  1490876 britikov      slim  0123.sh PD          N/A          N/A     10:00      1      (Priority)       287
  1490877 britikov      slim  0125.sh PD          N/A          N/A     10:00      1      (Priority)       287
  1490878 britikov      slim  0124.sh PD          N/A          N/A     10:00      1      (Priority)       287
  1490879 britikov      slim  0126.sh PD          N/A          N/A     10:00      1      (Priority)       287
  1490880 britikov      slim  0125.sh PD          N/A          N/A     10:00      1      (Priority)       287
  1490881 britikov      slim  0127.sh PD          N/A          N/A     10:00      1      (Priority)       287
  1490882 britikov      slim  0126.sh PD          N/A          N/A     10:00      1      (Priority)       287
  1490883 britikov      slim  0128.sh PD          N/A          N/A     10:00      1      (Priority)       287
  1490884 britikov      slim  0127.sh PD          N/A          N/A     10:00      1      (Priority)       287
  1490885 britikov      slim  0129.sh PD          N/A          N/A     10:00      1      (Priority)       287
  1490886 britikov      slim  0128.sh PD          N/A          N/A     10:00      1      (Priority)       287
  1490887 britikov      slim  0130.sh PD          N/A          N/A     10:00      1      (Priority)       287
  1490888 britikov      slim  0129.sh PD          N/A          N/A     10:00      1      (Priority)       287
  1490889 britikov      slim  0131.sh PD          N/A          N/A     10:00      1      (Priority)       287
  1490890 britikov      slim  0130.sh PD          N/A          N/A     10:00      1      (Priority)       287
  1490891 britikov      slim  0132.sh PD          N/A          N/A     10:00      1      (Priority)       287
  1490892 britikov      slim  0131.sh PD          N/A          N/A     10:00      1      (Priority)       287
  1490893 britikov      slim  0133.sh PD          N/A          N/A     10:00      1      (Priority)       287
  1490894 britikov      slim  0132.sh PD          N/A          N/A     10:00      1      (Priority)       287
  1490895 britikov      slim  0134.sh PD          N/A          N/A     10:00      1      (Priority)       287
  1490896 britikov      slim  0133.sh PD          N/A          N/A     10:00      1      (Priority)       287
  1490897 britikov      slim  0135.sh PD          N/A          N/A     10:00      1      (Priority)       287
  1490898 britikov      slim  0134.sh PD          N/A          N/A     10:00      1      (Priority)       287
  1490899 britikov      slim  0136.sh PD          N/A          N/A     10:00      1      (Priority)       287
  1490900 britikov      slim  0135.sh PD          N/A          N/A     10:00      1      (Priority)       287
  1490901 britikov      slim  0137.sh PD          N/A          N/A     10:00      1      (Priority)       287
  1490902 britikov      slim  0136.sh PD          N/A          N/A     10:00      1      (Priority)       287
  1490903 britikov      slim  0138.sh PD          N/A          N/A     10:00      1      (Priority)       287
  1490904 britikov      slim  0137.sh PD          N/A          N/A     10:00      1      (Priority)       287
  1490905 britikov      slim  0139.sh PD          N/A          N/A     10:00      1      (Priority)       287
  1490906 britikov      slim  0140.sh PD          N/A          N/A     10:00      1      (Priority)       287
  1490907 britikov      slim  0138.sh PD          N/A          N/A     10:00      1      (Priority)       287
  1490908 britikov      slim  0141.sh PD          N/A          N/A     10:00      1      (Priority)       287
  1490909 britikov      slim  0139.sh PD          N/A          N/A     10:00      1      (Priority)       287
  1490910 britikov      slim  0142.sh PD          N/A          N/A     10:00      1      (Priority)       287
  1490911 britikov      slim  0140.sh PD          N/A          N/A     10:00      1      (Priority)       287
  1490912 britikov      slim  0143.sh PD          N/A          N/A     10:00      1      (Priority)       287
  1490913 britikov      slim  0141.sh PD          N/A          N/A     10:00      1      (Priority)       287
  1490914 britikov      slim  0144.sh PD          N/A          N/A     10:00      1      (Priority)       287
  1490915 britikov      slim  0142.sh PD          N/A          N/A     10:00      1      (Priority)       287
  1490916 britikov      slim  0145.sh PD          N/A          N/A     10:00      1      (Priority)       287
  1490917 britikov      slim  0143.sh PD          N/A          N/A     10:00      1      (Priority)       287
  1490918 britikov      slim  0146.sh PD          N/A          N/A     10:00      1      (Priority)       287
  1490919 britikov      slim  0144.sh PD          N/A          N/A     10:00      1      (Priority)       287
  1490920 britikov      slim  0147.sh PD          N/A          N/A     10:00      1      (Priority)       287
  1490921 britikov      slim  0145.sh PD          N/A          N/A     10:00      1      (Priority)       287
  1490922 britikov      slim  0148.sh PD          N/A          N/A     10:00      1      (Priority)       287
  1490923 britikov      slim  0146.sh PD          N/A          N/A     10:00      1      (Priority)       287
  1490924 britikov      slim  0149.sh PD          N/A          N/A     10:00      1      (Priority)       287
  1490925 britikov      slim  0147.sh PD          N/A          N/A     10:00      1      (Priority)       287
  1490926 britikov      slim  0150.sh PD          N/A          N/A     10:00      1      (Priority)       287
  1490927 britikov      slim  0148.sh PD          N/A          N/A     10:00      1      (Priority)       287
  1490928 britikov      slim  0151.sh PD          N/A          N/A     10:00      1      (Priority)       287
  1490929 britikov      slim  0149.sh PD          N/A          N/A     10:00      1      (Priority)       287
  1490930 britikov      slim  0152.sh PD          N/A          N/A     10:00      1      (Priority)       287
  1490931 britikov      slim  0150.sh PD          N/A          N/A     10:00      1      (Priority)       287
  1490932 britikov      slim  0153.sh PD          N/A          N/A     10:00      1      (Priority)       287
  1490933 britikov      slim  0151.sh PD          N/A          N/A     10:00      1      (Priority)       287
  1490934 britikov      slim  0154.sh PD          N/A          N/A     10:00      1      (Priority)       287
  1490935 britikov      slim  0152.sh PD          N/A          N/A     10:00      1      (Priority)       287
  1490936 britikov      slim  0155.sh PD          N/A          N/A     10:00      1      (Priority)       287
  1490937 britikov      slim  0153.sh PD          N/A          N/A     10:00      1      (Priority)       287
  1490938 britikov      slim  0156.sh PD          N/A          N/A     10:00      1      (Priority)       287
  1490939 britikov      slim  0154.sh PD          N/A          N/A     10:00      1      (Priority)       287
  1490940 britikov      slim  0157.sh PD          N/A          N/A     10:00      1      (Priority)       287
  1490941 britikov      slim  0155.sh PD          N/A          N/A     10:00      1      (Priority)       287
  1490942 britikov      slim  0158.sh PD          N/A          N/A     10:00      1      (Priority)       287
  1490943 britikov      slim  0156.sh PD          N/A          N/A     10:00      1      (Priority)       287
  1490944 britikov      slim  0159.sh PD          N/A          N/A     10:00      1      (Priority)       287
  1490945 britikov      slim  0157.sh PD          N/A          N/A     10:00      1      (Priority)       287
  1490946 britikov      slim  0160.sh PD          N/A          N/A     10:00      1      (Priority)       287
  1490947 britikov      slim  0158.sh PD          N/A          N/A     10:00      1      (Priority)       287
  1490948 britikov      slim  0161.sh PD          N/A          N/A     10:00      1      (Priority)       287
  1490949 britikov      slim  0159.sh PD          N/A          N/A     10:00      1      (Priority)       287
  1490950 britikov      slim  0162.sh PD          N/A          N/A     10:00      1      (Priority)       287
  1490951 britikov      slim  0160.sh PD          N/A          N/A     10:00      1      (Priority)       287
  1490952 britikov      slim  0163.sh PD          N/A          N/A     10:00      1      (Priority)       287
  1490953 britikov      slim  0161.sh PD          N/A          N/A     10:00      1      (Priority)       287
  1490954 britikov      slim  0164.sh PD          N/A          N/A     10:00      1      (Priority)       287
  1490955 britikov      slim  0162.sh PD          N/A          N/A     10:00      1      (Priority)       287
  1490956 britikov      slim  0165.sh PD          N/A          N/A     10:00      1      (Priority)       287
  1490957 britikov      slim  0163.sh PD          N/A          N/A     10:00      1      (Priority)       287
  1490958 britikov      slim  0166.sh PD          N/A          N/A     10:00      1      (Priority)       287
  1490959 britikov      slim  0164.sh PD          N/A          N/A     10:00      1      (Priority)       287
  1490960 britikov      slim  0167.sh PD          N/A          N/A     10:00      1      (Priority)       287
  1490961 britikov      slim  0165.sh PD          N/A          N/A     10:00      1      (Priority)       287
  1490962 britikov      slim  0168.sh PD          N/A          N/A     10:00      1      (Priority)       287
  1490963 britikov      slim  0166.sh PD          N/A          N/A     10:00      1      (Priority)       287
  1490964 britikov      slim  0169.sh PD          N/A          N/A     10:00      1      (Priority)       287
  1490965 britikov      slim  0167.sh PD          N/A          N/A     10:00      1      (Priority)       287
  1490967 britikov      slim  0170.sh PD          N/A          N/A     10:00      1      (Priority)       287
  1490968 britikov      slim  0168.sh PD          N/A          N/A     10:00      1      (Priority)       287
  1490969 britikov      slim  0171.sh PD          N/A          N/A     10:00      1      (Priority)       287
  1490970 britikov      slim  0169.sh PD          N/A          N/A     10:00      1      (Priority)       287
  1490971 britikov      slim  0172.sh PD          N/A          N/A     10:00      1      (Priority)       287
  1490972 britikov      slim  0170.sh PD          N/A          N/A     10:00      1      (Priority)       287
  1490973 britikov      slim  0173.sh PD          N/A          N/A     10:00      1      (Priority)       287
  1490974 britikov      slim  0171.sh PD          N/A          N/A     10:00      1      (Priority)       287
  1490975 britikov      slim  0174.sh PD          N/A          N/A     10:00      1      (Priority)       287
  1490976 britikov      slim  0172.sh PD          N/A          N/A     10:00      1      (Priority)       287
  1490977 britikov      slim  0175.sh PD          N/A          N/A     10:00      1      (Priority)       287
  1490978 britikov      slim  0173.sh PD          N/A          N/A     10:00      1      (Priority)       287
  1490979 britikov      slim  0174.sh PD          N/A          N/A     10:00      1      (Priority)       287
  1490980 britikov      slim  0176.sh PD          N/A          N/A     10:00      1      (Priority)       287
  1490981 britikov      slim  0175.sh PD          N/A          N/A     10:00      1      (Priority)       287
  1490982 britikov      slim  0177.sh PD          N/A          N/A     10:00      1      (Priority)       287
  1490983 britikov      slim  0176.sh PD          N/A          N/A     10:00      1      (Priority)       287
  1490984 britikov      slim  0178.sh PD          N/A          N/A     10:00      1      (Priority)       287
  1490985 britikov      slim  0177.sh PD          N/A          N/A     10:00      1      (Priority)       287
  1490986 britikov      slim  0179.sh PD          N/A          N/A     10:00      1      (Priority)       287
  1490987 britikov      slim  0178.sh PD          N/A          N/A     10:00      1      (Priority)       287
  1490988 britikov      slim  0180.sh PD          N/A          N/A     10:00      1      (Priority)       287
  1490989 britikov      slim  0179.sh PD          N/A          N/A     10:00      1      (Priority)       287
  1490990 britikov      slim  0181.sh PD          N/A          N/A     10:00      1      (Priority)       287
  1490991 britikov      slim  0180.sh PD          N/A          N/A     10:00      1      (Priority)       287
  1490992 britikov      slim  0182.sh PD          N/A          N/A     10:00      1      (Priority)       287
  1490993 britikov      slim  0181.sh PD          N/A          N/A     10:00      1      (Priority)       287
  1490994 britikov      slim  0183.sh PD          N/A          N/A     10:00      1      (Priority)       287
  1490995 britikov      slim  0182.sh PD          N/A          N/A     10:00      1      (Priority)       287
  1490996 britikov      slim  0184.sh PD          N/A          N/A     10:00      1      (Priority)       287
  1490997 britikov      slim  0183.sh PD          N/A          N/A     10:00      1      (Priority)       287
  1490998 britikov      slim  0185.sh PD          N/A          N/A     10:00      1      (Priority)       287
  1490999 britikov      slim  0184.sh PD          N/A          N/A     10:00      1      (Priority)       287
  1491000 britikov      slim  0186.sh PD          N/A          N/A     10:00      1      (Priority)       287
  1491001 britikov      slim  0185.sh PD          N/A          N/A     10:00      1      (Priority)       287
  1491002 britikov      slim  0187.sh PD          N/A          N/A     10:00      1      (Priority)       287
  1491003 britikov      slim  0186.sh PD          N/A          N/A     10:00      1      (Priority)       287
  1491004 britikov      slim  0188.sh PD          N/A          N/A     10:00      1      (Priority)       287
  1491005 britikov      slim  0187.sh PD          N/A          N/A     10:00      1      (Priority)       287
  1491006 britikov      slim  0189.sh PD          N/A          N/A     10:00      1      (Priority)       287
  1491007 britikov      slim  0188.sh PD          N/A          N/A     10:00      1      (Priority)       287
  1491008 britikov      slim  0190.sh PD          N/A          N/A     10:00      1      (Priority)       287
  1491009 britikov      slim  0189.sh PD          N/A          N/A     10:00      1      (Priority)       287
  1491010 britikov      slim  0191.sh PD          N/A          N/A     10:00      1      (Priority)       287
  1491012 britikov      slim  0190.sh PD          N/A          N/A     10:00      1      (Priority)       287
  1491013 britikov      slim  0192.sh PD          N/A          N/A     10:00      1      (Priority)       287
  1491014 britikov      slim  0191.sh PD          N/A          N/A     10:00      1      (Priority)       287
  1491015 britikov      slim  0193.sh PD          N/A          N/A     10:00      1      (Priority)       287
  1491016 britikov      slim  0194.sh PD          N/A          N/A     10:00      1      (Priority)       287
  1491017 britikov      slim  0192.sh PD          N/A          N/A     10:00      1      (Priority)       287
  1491018 britikov      slim  0195.sh PD          N/A          N/A     10:00      1      (Priority)       287
  1491019 britikov      slim  0193.sh PD          N/A          N/A     10:00      1      (Priority)       287
  1491020 britikov      slim  0196.sh PD          N/A          N/A     10:00      1      (Priority)       287
  1491021 britikov      slim  0194.sh PD          N/A          N/A     10:00      1      (Priority)       287
  1491022 britikov      slim  0197.sh PD          N/A          N/A     10:00      1      (Priority)       287
  1491023 britikov      slim  0195.sh PD          N/A          N/A     10:00      1      (Priority)       287
  1491024 britikov      slim  0198.sh PD          N/A          N/A     10:00      1      (Priority)       287
  1491025 britikov      slim  0196.sh PD          N/A          N/A     10:00      1      (Priority)       287
  1491026 britikov      slim  0199.sh PD          N/A          N/A     10:00      1      (Priority)       287
  1491027 britikov      slim  0197.sh PD          N/A          N/A     10:00      1      (Priority)       287
  1491028 britikov      slim  0198.sh PD          N/A          N/A     10:00      1      (Priority)       287
  1491029 britikov      slim  0200.sh PD          N/A          N/A     10:00      1      (Priority)       287
  1491030 britikov      slim  0199.sh PD          N/A          N/A     10:00      1      (Priority)       287
  1491031 britikov      slim  0201.sh PD          N/A          N/A     10:00      1      (Priority)       287
  1491032 britikov      slim  0200.sh PD          N/A          N/A     10:00      1      (Priority)       287
  1491033 britikov      slim  0202.sh PD          N/A          N/A     10:00      1      (Priority)       287
  1491034 britikov      slim  0201.sh PD          N/A          N/A     10:00      1      (Priority)       287
  1491035 britikov      slim  0203.sh PD          N/A          N/A     10:00      1      (Priority)       287
  1491036 britikov      slim  0202.sh PD          N/A          N/A     10:00      1      (Priority)       287
  1491037 britikov      slim  0204.sh PD          N/A          N/A     10:00      1      (Priority)       287
  1491038 britikov      slim  0203.sh PD          N/A          N/A     10:00      1      (Priority)       287
  1491039 britikov      slim  0205.sh PD          N/A          N/A     10:00      1      (Priority)       287
  1491040 britikov      slim  0204.sh PD          N/A          N/A     10:00      1      (Priority)       287
  1491041 britikov      slim  0206.sh PD          N/A          N/A     10:00      1      (Priority)       287
  1491042 britikov      slim  0205.sh PD          N/A          N/A     10:00      1      (Priority)       287
  1491043 britikov      slim  0207.sh PD          N/A          N/A     10:00      1      (Priority)       287
  1491044 britikov      slim  0206.sh PD          N/A          N/A     10:00      1      (Priority)       287
  1491045 britikov      slim  0208.sh PD          N/A          N/A     10:00      1      (Priority)       287
  1491046 britikov      slim  0207.sh PD          N/A          N/A     10:00      1      (Priority)       287
  1491047 britikov      slim  0209.sh PD          N/A          N/A     10:00      1      (Priority)       287
  1491048 britikov      slim  0208.sh PD          N/A          N/A     10:00      1      (Priority)       287
  1491049 britikov      slim  0210.sh PD          N/A          N/A     10:00      1      (Priority)       287
  1491050 britikov      slim  0209.sh PD          N/A          N/A     10:00      1      (Priority)       287
  1491051 britikov      slim  0211.sh PD          N/A          N/A     10:00      1      (Priority)       287
  1491052 britikov      slim  0210.sh PD          N/A          N/A     10:00      1      (Priority)       287
  1491053 britikov      slim  0212.sh PD          N/A          N/A     10:00      1      (Priority)       287
  1491054 britikov      slim  0211.sh PD          N/A          N/A     10:00      1      (Priority)       287
  1491055 britikov      slim  0213.sh PD          N/A          N/A     10:00      1      (Priority)       287
  1491056 britikov      slim  0212.sh PD          N/A          N/A     10:00      1      (Priority)       287
  1491057 britikov      slim  0214.sh PD          N/A          N/A     10:00      1      (Priority)       287
  1491058 britikov      slim  0213.sh PD          N/A          N/A     10:00      1      (Priority)       287
  1491059 britikov      slim  0215.sh PD          N/A          N/A     10:00      1      (Priority)       287
  1491060 britikov      slim  0214.sh PD          N/A          N/A     10:00      1      (Priority)       287
  1491061 britikov      slim  0216.sh PD          N/A          N/A     10:00      1      (Priority)       287
  1491062 britikov      slim  0215.sh PD          N/A          N/A     10:00      1      (Priority)       287
  1491063 britikov      slim  0217.sh PD          N/A          N/A     10:00      1      (Priority)       287
  1491064 britikov      slim  0216.sh PD          N/A          N/A     10:00      1      (Priority)       287
  1491065 britikov      slim  0218.sh PD          N/A          N/A     10:00      1      (Priority)       287
  1491066 britikov      slim  0217.sh PD          N/A          N/A     10:00      1      (Priority)       287
  1491067 britikov      slim  0219.sh PD          N/A          N/A     10:00      1      (Priority)       287
  1491068 britikov      slim  0218.sh PD          N/A          N/A     10:00      1      (Priority)       287
  1491069 britikov      slim  0220.sh PD          N/A          N/A     10:00      1      (Priority)       287
  1491071 britikov      slim  0219.sh PD          N/A          N/A     10:00      1      (Priority)       287
  1491072 britikov      slim  0221.sh PD          N/A          N/A     10:00      1      (Priority)       287
  1491073 britikov      slim  0220.sh PD          N/A          N/A     10:00      1      (Priority)       287
  1491074 britikov      slim  0222.sh PD          N/A          N/A     10:00      1      (Priority)       287
  1491075 britikov      slim  0221.sh PD          N/A          N/A     10:00      1      (Priority)       287
  1491076 britikov      slim  0223.sh PD          N/A          N/A     10:00      1      (Priority)       287
  1491077 britikov      slim  0222.sh PD          N/A          N/A     10:00      1      (Priority)       287
  1491078 britikov      slim  0224.sh PD          N/A          N/A     10:00      1      (Priority)       287
  1491079 britikov      slim  0223.sh PD          N/A          N/A     10:00      1      (Priority)       287
  1491080 britikov      slim  0225.sh PD          N/A          N/A     10:00      1      (Priority)       287
  1491081 britikov      slim  0224.sh PD          N/A          N/A     10:00      1      (Priority)       287
  1491082 britikov      slim  0226.sh PD          N/A          N/A     10:00      1      (Priority)       287
  1491083 britikov      slim  0225.sh PD          N/A          N/A     10:00      1      (Priority)       287
  1491084 britikov      slim  0227.sh PD          N/A          N/A     10:00      1      (Priority)       287
  1491085 britikov      slim  0226.sh PD          N/A          N/A     10:00      1      (Priority)       287
  1491086 britikov      slim  0228.sh PD          N/A          N/A     10:00      1      (Priority)       287
  1491087 britikov      slim  0227.sh PD          N/A          N/A     10:00      1      (Priority)       287
  1491088 britikov      slim  0229.sh PD          N/A          N/A     10:00      1      (Priority)       287
  1491089 britikov      slim  0230.sh PD          N/A          N/A     10:00      1      (Priority)       287
  1491090 britikov      slim  0228.sh PD          N/A          N/A     10:00      1      (Priority)       287
  1491091 britikov      slim  0231.sh PD          N/A          N/A     10:00      1      (Priority)       287
  1491092 britikov      slim  0229.sh PD          N/A          N/A     10:00      1      (Priority)       287
  1491093 britikov      slim  0232.sh PD          N/A          N/A     10:00      1      (Priority)       287
  1491094 britikov      slim  0230.sh PD          N/A          N/A     10:00      1      (Priority)       287
  1491095 britikov      slim  0233.sh PD          N/A          N/A     10:00      1      (Priority)       287
  1491096 britikov      slim  0231.sh PD          N/A          N/A     10:00      1      (Priority)       287
  1491097 britikov      slim  0232.sh PD          N/A          N/A     10:00      1      (Priority)       287
  1491098 britikov      slim  0234.sh PD          N/A          N/A     10:00      1      (Priority)       287
  1491099 britikov      slim  0233.sh PD          N/A          N/A     10:00      1      (Priority)       287
  1491100 britikov      slim  0235.sh PD          N/A          N/A     10:00      1      (Priority)       287
  1491101 britikov      slim  0234.sh PD          N/A          N/A     10:00      1      (Priority)       287
  1491102 britikov      slim  0236.sh PD          N/A          N/A     10:00      1      (Priority)       287
  1491103 britikov      slim  0235.sh PD          N/A          N/A     10:00      1      (Priority)       287
  1491104 britikov      slim  0237.sh PD          N/A          N/A     10:00      1      (Priority)       287
  1491105 britikov      slim  0236.sh PD          N/A          N/A     10:00      1      (Priority)       287
  1491106 britikov      slim  0238.sh PD          N/A          N/A     10:00      1      (Priority)       287
  1491107 britikov      slim  0237.sh PD          N/A          N/A     10:00      1      (Priority)       287
  1491108 britikov      slim  0239.sh PD          N/A          N/A     10:00      1      (Priority)       287
